State,Facility Name,Facility ID (ORISPL),Unit ID,Caveat
"PA","Springdale Generating Station (55710)","55710",,"Facility name change from Allegheny Energy on 09/26/2002",
"TX","Twin Oaks","7030",,"Facility name change from Tnp One on 07/15/2002",
"TX","Twin Oaks","7030",,"Facility name change from TNP One on 01/07/2003",
"TX","H W Pirkey Power Plant","7902",,"Facility name change from Pirkey on 09/26/2002",
"GA","Walton County Power","55128",,"Facility name change from LG&E Power Monroe on 04/23/2002",
"PA","WPS Westwood Generation, LLC","50611",,"Facility name change from Westwood on 09/28/2006",
"TX","ExxonMobil Beaumont Refinery","50625",,"Facility name change from Mobil Beaumont Refinery on 02/21/2003",
"IN","Alcoa Allowance Management Inc","6705",,"Facility name change from Warrick on 10/17/2006",
"IN","Alcoa Allowance Management Inc","6705",,"Facility name change from Alcoa Allowance Management, Inc. on 11/21/2006",
"IN","Alcoa Allowance Management Inc","6705",,"Facility name change from Warrick Power Plant on 11/21/2006",
"IN","Alcoa Allowance Management Inc","6705",,"Facility name change from Alcoa Warrick Power Plant on 03/20/2007",
"PA","Trainer Refinery","880025",,"Facility name change from Tosco Trainer Refinery on 09/09/2003",
"PA","Trainer Refinery","880025",,"Facility name change from Conoco Phillips Co., Trainer Refinery on 09/09/2003",
"TN","Tate & Lyle-Loudon","880079",,"Facility name change from A E Staley Manufacturing Co (TN) on 11/01/2005",
"AR","Hot Spring Energy Facility","55418",,"Facility name change from Duke Energy Hot Spring LLC on 11/03/2003",
"AR","Hot Spring Energy Facility","55418",,"Facility name change from Hot Spring Energy Facility on 10/25/2004",
"IN","ArcelorMittal USA - Indiana Harbor East","10474",,"Facility name change from Ispat Inland Inc on 01/31/2006",
"TX","South Houston Green Power Site","55470",,"Facility name change from Green Power on 10/01/2003",
"OH","Waterford Plant","55503",,"Facility name change from PSEG Waterford Energy Facility on 12/13/2001",
"MI","DTE Pontiac North LLC","10111",,"Facility name change from General Motors Corporation - Pontiac on 02/12/2007",
"NC","Rosemary Power Station","50555",,"Facility name change from Panda Rosemary on 02/24/2005",
"SC","INEOS US Chemicals Company CR Plant","880092","B","Unit ID change from 02 to B",
"SC","INEOS US Chemicals Company CR Plant","880092","A","Unit ID change from 01 to A",
"AR","Magnet Cove Generating Station","55714","SN-01","Unit ID change from GT-1 to SN-01",
"AR","Magnet Cove Generating Station","55714","SN-02","Unit ID change from GT-2 to SN-02",
"CA","Roseville Energy Park","56298","CT001","Unit ID change from 1 to CT001",
"CA","Roseville Energy Park","56298","CT002","Unit ID change from 2 to CT002",
"CO","Spindle Hill Energy Center","56445","CT-01","Unit ID change from 1 to CT-01",
"CO","Spindle Hill Energy Center","56445","CT-02","Unit ID change from 2 to CT-02",
"MN","Cannon Falls Energy Center","56241","CT-01","Unit ID change from 1 to CT-01",
"MN","Cannon Falls Energy Center","56241","CT-02","Unit ID change from 2 to CT-02",
"WI","Island Street Peaking Plant","55836","1A","Unit ID change from CT1A to 1A",
"WI","Island Street Peaking Plant","55836","1B","Unit ID change from CT1B to 1B",
"NY","S A Carlson","2682","20","Unit ID change from 20 to 20",
"NY","S A Carlson","2682","20","Unit ID change from 7 to 20",
"CA","Carson Cogeneration Company","10169","D1","Unit ID change from 1 to D1",
"MO","Iatan","6065","2","Unit ID change from **2 to 2",
"MN","Pleasant Valley Station","7843","13","Unit ID change from EU03 to 13",
"MN","Pleasant Valley Station","7843","11","Unit ID change from EU01 to 11",
"MN","Pleasant Valley Station","7843","12","Unit ID change from EU02 to 12",
"FL","Brandy Branch","7846","1","Unit ID change from 001 to 1",
"FL","Brandy Branch","7846","3","Unit ID change from 003 to 3",
"FL","Brandy Branch","7846","2","Unit ID change from 002 to 2",
"NY","Astoria Generating Station","8906","32SH","Unit ID change from 31RH to 32SH",
"NY","Astoria Generating Station","8906","42RH","Unit ID change from 41SH to 42RH",
"MN","Cambridge Station","2038","2","Unit ID change from 002 to 2",
"NC","Richmond County Plant","7805","10","Unit ID change from 14 to 10",
"NC","Richmond County Plant","7805","9","Unit ID change from 13 to 9",
"AR","Fulton","7825","CT1","Unit ID change from 1 to CT1",
"VA","Marsh Run Generation Facility","7836","EU2","Unit ID change from 2 to EU2",
"VA","Marsh Run Generation Facility","7836","EU1","Unit ID change from 1 to EU1",
"VA","Marsh Run Generation Facility","7836","EU3","Unit ID change from 3 to EU3",
"VA","Marsh Run Generation Facility","7836","EU4","Unit ID change from 4 to EU4",
"VA","Louisa Generation Facility","7837","EU5","Unit ID change from 5 to EU5",
"VA","Louisa Generation Facility","7837","EU1","Unit ID change from 1 to EU1",
"VA","Louisa Generation Facility","7837","EU1","Unit ID change from EU1 to EU1",
"VA","Louisa Generation Facility","7837","EU1","Unit ID change from 1 to EU1",
"VA","Louisa Generation Facility","7837","EU2","Unit ID change from 2 to EU2",
"VA","Louisa Generation Facility","7837","EU2","Unit ID change from EU2 to EU2",
"VA","Louisa Generation Facility","7837","EU2","Unit ID change from 2 to EU2",
"VA","Louisa Generation Facility","7837","EU3","Unit ID change from 3 to EU3",
"VA","Louisa Generation Facility","7837","EU4","Unit ID change from 4 to EU4",
"PA","Hummel Station","60368","CT1","Unit ID change from CTG1 to CT1",
"PA","Hummel Station","60368","CT2","Unit ID change from CTG2 to CT2",
"PA","Hummel Station","60368","CT3","Unit ID change from CTG3 to CT3",
"PA","ETMT Marcus Hook Terminal","880107","AB03","Unit ID change from 0006 to AB03",
"PA","ETMT Marcus Hook Terminal","880107","AB02","Unit ID change from 0005 to AB02",
"PA","ETMT Marcus Hook Terminal","880107","AB04","Unit ID change from 0007 to AB04",
"PA","ETMT Marcus Hook Terminal","880107","AB01","Unit ID change from 0004 to AB01",
"TX","Port Comfort Peaking Facility","60459","CT1","Unit ID change from PC1 to CT1",
"TX","Port Comfort Peaking Facility","60459","CT2","Unit ID change from PC2 to CT2",
"MT","Hardin Generating Station","55749","U1","Unit ID change from 1 to U1",
"NC","University of NC Chapel Hill","54276","ES002","Unit ID change from 7 to ES002",
"NC","University of NC Chapel Hill","54276","ES001","Unit ID change from 6 to ES001",
"NC","University of NC Chapel Hill","54276","ES003","Unit ID change from 8 to ES003",
"VA","GP Big Island, LLC","50479","4","Unit ID change from B004 to 4",
"VA","GP Big Island, LLC","50479","6","Unit ID change from B006 to 6",
"CA","Delano Energy Center, LLC","58122","GEN1","Delano Energy Center, LLC (ORISPL 58122) Unit GEN1 in California was previously Wellhead Power Gates, LLC (ORISPL 55875) Unit GT1 in California, and started submitting emissions at the new location in Q1 2012",
"FL","Auburndale Peaker Energy Center","55833","6","Auburndale Peaker Energy Center (ORISPL 55833) Unit 6 in Florida was previously Quantum Auburndale Power, LP (ORISPL 54658) Unit 6 in Florida, and started submitting emissions at the new location in Q1 2009",
"TX","Tejas Power Generation Unit 1","60468","CT-1","Tejas Power Generation Unit 1 (ORISPL 60468) Unit CT-1 in Texas was previously Quantum Auburndale Power, LP (ORISPL 54658) Unit 1 in Florida, and started submitting emissions at the new location in Q1 2018",
"FL","Indian River (55318)","55318","1","Indian River (ORISPL 55318) Unit 1 in Florida was previously Indian River (ORISPL 683) Unit 1 in Florida, and started submitting emissions at the new location in Q2 2000",
"FL","Indian River (55318)","55318","2","Indian River (ORISPL 55318) Unit 2 in Florida was previously Indian River (ORISPL 683) Unit 2 in Florida, and started submitting emissions at the new location in Q2 2000",
"FL","Indian River (55318)","55318","3","Indian River (ORISPL 55318) Unit 3 in Florida was previously Indian River (ORISPL 683) Unit 3 in Florida, and started submitting emissions at the new location in Q2 2000",
"FL","C D McIntosh Jr Power Plant","676","MGT2","C D McIntosh Jr Power Plant (ORISPL 676) Unit MGT2 in Florida was previously Auburndale Peaker Energy Center (ORISPL 55833) Unit 6 in Florida, and started submitting emissions at the new location in Q1 2020",
"TX","Victoria Port Peaking Facility","61242","CT1","Victoria Port Peaking Facility (ORISPL 61242) Unit CT1 in Texas was previously Quantum Lake Power, LP (ORISPL 54423) Unit EU003 in Florida, and started submitting emissions at the new location in Q1 2019",
"TX","Victoria Port Peaking Facility","61242","CT2","Victoria Port Peaking Facility (ORISPL 61242) Unit CT2 in Texas was previously Quantum Lake Power, LP (ORISPL 54423) Unit EU004 in Florida, and started submitting emissions at the new location in Q1 2019",
"VA","Doswell Limited Partnership","52019","CT2","Doswell Limited Partnership (ORISPL 52019) Unit CT2 in Virginia was previously Desoto County Energy Park (ORISPL 55422) Unit CT1 in Florida, and started submitting emissions at the new location in Q1 2018",
"VA","Doswell Limited Partnership","52019","CT3","Doswell Limited Partnership (ORISPL 52019) Unit CT3 in Virginia was previously Desoto County Energy Park (ORISPL 55422) Unit CT2 in Florida, and started submitting emissions at the new location in Q1 2018",
"GA","Wansley CC (55965)","55965","7A","Wansley CC (ORISPL 55965) Unit 7A in Georgia was previously Wansley (ORISPL 6052) Unit 7A in Georgia, and started submitting emissions at the new location in Q1 2012",
"GA","Wansley CC (55965)","55965","6B","Wansley CC (ORISPL 55965) Unit 6B in Georgia was previously Wansley (ORISPL 6052) Unit 6B in Georgia, and started submitting emissions at the new location in Q1 2012",
"GA","Wansley CC (55965)","55965","6A","Wansley CC (ORISPL 55965) Unit 6A in Georgia was previously Wansley (ORISPL 6052) Unit 6A in Georgia, and started submitting emissions at the new location in Q1 2012",
"GA","Wansley CC (55965)","55965","7B","Wansley CC (ORISPL 55965) Unit 7B in Georgia was previously Wansley (ORISPL 6052) Unit 7B in Georgia, and started submitting emissions at the new location in Q1 2012",
"IN","Wabash River Highland Plant","57842","1","Wabash River Highland Plant (ORISPL 57842) Unit 1 in Indiana was previously Wabash River Gen Station (ORISPL 1010) Unit 1 in Indiana, and started submitting emissions at the new location in Q1 2017",
"AR","Harry D. Mattison Power Plant","56328","3","Harry D. Mattison Power Plant (ORISPL 56328) Unit 3 in Arkansas was previously Caledonia Power I, LLC (ORISPL 55082) Unit AA-001 in Mississippi, and started submitting emissions at the new location in Q3 2007",
"AR","Harry D. Mattison Power Plant","56328","4","Harry D. Mattison Power Plant (ORISPL 56328) Unit 4 in Arkansas was previously Caledonia Power I, LLC (ORISPL 55082) Unit AA-002 in Mississippi, and started submitting emissions at the new location in Q3 2007",
"OK","Riverside (4940)","4940","1503","Riverside (ORISPL 4940) Unit 1503 in Oklahoma was previously Caledonia Power I, LLC (ORISPL 55082) Unit AA-003 in Mississippi, and started submitting emissions at the new location in Q1 2008",
"OK","Riverside (4940)","4940","1504","Riverside (ORISPL 4940) Unit 1504 in Oklahoma was previously Caledonia Power I, LLC (ORISPL 55082) Unit AA-004 in Mississippi, and started submitting emissions at the new location in Q1 2008",
"OK","Southwestern","2964","8004","Southwestern (ORISPL 2964) Unit 8004 in Oklahoma was previously Caledonia Power I, LLC (ORISPL 55082) Unit AA-005 in Mississippi, and started submitting emissions at the new location in Q1 2008",
"OK","Southwestern","2964","8005","Southwestern (ORISPL 2964) Unit 8005 in Oklahoma was previously Caledonia Power I, LLC (ORISPL 55082) Unit AA-006 in Mississippi, and started submitting emissions at the new location in Q1 2008",
"TX","Hardin County Peaking Facility","56604","HCCT1","Hardin County Peaking Facility (ORISPL 56604) Unit HCCT1 in Texas was previously Warren Peaking Power Facility (ORISPL 55303) Unit AA-001 in Mississippi, and started submitting emissions at the new location in Q2 2009",
"TX","Hardin County Peaking Facility","56604","HCCT2","Hardin County Peaking Facility (ORISPL 56604) Unit HCCT2 in Texas was previously Warren Peaking Power Facility (ORISPL 55303) Unit AA-004 in Mississippi, and started submitting emissions at the new location in Q1 2009",
"TX","San Jacinto County Peaking Facility","56603","SJCCT1","San Jacinto County Peaking Facility (ORISPL 56603) Unit SJCCT1 in Texas was previously Warren Peaking Power Facility (ORISPL 55303) Unit AA-002 in Mississippi, and started submitting emissions at the new location in Q2 2009",
"TX","San Jacinto County Peaking Facility","56603","SJCCT2","San Jacinto County Peaking Facility (ORISPL 56603) Unit SJCCT2 in Texas was previously Warren Peaking Power Facility (ORISPL 55303) Unit AA-003 in Mississippi, and started submitting emissions at the new location in Q1 2009",
"TX","Quail Run Energy Center","56349","CT2B","Quail Run Energy Center (ORISPL 56349) Unit CT2B in Texas was previously KGen Enterprise Facility (ORISPL 55373) Unit CT4 in Mississippi, and started submitting emissions at the new location in Q2 2008",
"TX","Quail Run Energy Center","56349","CT2A","Quail Run Energy Center (ORISPL 56349) Unit CT2A in Texas was previously KGen Enterprise Facility (ORISPL 55373) Unit CT3 in Mississippi, and started submitting emissions at the new location in Q2 2008",
"TX","Newman Power Station","3456","GT-6B","Newman Power Station (ORISPL 3456) Unit GT-6B in Texas was previously KGen Enterprise Facility (ORISPL 55373) Unit CT8 in Mississippi, and started submitting emissions at the new location in Q2 2009",
"TX","Newman Power Station","3456","GT-6A","Newman Power Station (ORISPL 3456) Unit GT-6A in Texas was previously KGen Enterprise Facility (ORISPL 55373) Unit CT7 in Mississippi, and started submitting emissions at the new location in Q2 2009",
"TX","Colorado Bend Energy Center","56350","CT1A","Colorado Bend Energy Center (ORISPL 56350) Unit CT1A in Texas was previously KGen Enterprise Facility (ORISPL 55373) Unit CT1 in Mississippi, and started submitting emissions at the new location in Q2 2007",
"TX","Colorado Bend Energy Center","56350","CT2B","Colorado Bend Energy Center (ORISPL 56350) Unit CT2B in Texas was previously KGen Enterprise Facility (ORISPL 55373) Unit CT6 in Mississippi, and started submitting emissions at the new location in Q1 2008",
"TX","Colorado Bend Energy Center","56350","CT1B","Colorado Bend Energy Center (ORISPL 56350) Unit CT1B in Texas was previously KGen Enterprise Facility (ORISPL 55373) Unit CT2 in Mississippi, and started submitting emissions at the new location in Q2 2007",
"FL","Fort Myers","612","GFM01","Unit ID change from GFM1 to GFM01",
"FL","Fort Myers","612","GFM02","Unit ID change from GFM2 to GFM02",
"FL","Fort Myers","612","GFM03","Unit ID change from GFM3 to GFM03",
"FL","Fort Myers","612","GFM04","Unit ID change from GFM4 to GFM04",
"FL","Fort Myers","612","GFM05","Unit ID change from GFM5 to GFM05",
"FL","Fort Myers","612","GFM06","Unit ID change from GFM6 to GFM06",
"FL","Fort Myers","612","GFM07","Unit ID change from GFM7 to GFM07",
"FL","Fort Myers","612","GFM08","Unit ID change from GFM8 to GFM08",
"FL","Fort Myers","612","GFM09","Unit ID change from GFM9 to GFM09",
"FL","Fort Myers","612","GFM10","Unit ID change from GMF10 to GFM10",
"ID","Bennett Mountain Power Project","55733","CT01","Unit ID change from 01 to CT01",
"WI","Sheepskin","4059","CT1A","Unit ID change from 1 to CT1A",
"WI","Sheepskin","4059","CT1A","Unit ID change from 1A to CT1A",
"WI","Sheepskin","4059","CT1B","Unit ID change from 2 to CT1B",
"WI","Sheepskin","4059","CT1B","Unit ID change from 1B to CT1B",
"KY","Catlettsburg Refining, LLC","880038","064","Unit ID change from 64 to 064",
"KY","Catlettsburg Refining, LLC","880038","061","Unit ID change from 61 to 061",
"NC","WestRock Kraft Paper, LLC","50254","001","Unit ID change from 1 to 001",
"CA","Moss Landing Power Plant","260","3A","Unit ID change from 1B to 3A",
"CA","Moss Landing Power Plant","260","4A","Unit ID change from 2B to 4A",
"VT","Penny Lane Gas Turbine","3754","CT1","Unit ID change from GT1 to CT1",
"CO","Pueblo Airport Generating Station","56998","CT07","Unit ID change from CT5B to CT07",
"CO","Pueblo Airport Generating Station","56998","CT05","Unit ID change from CT4B to CT05",
"CO","Pueblo Airport Generating Station","56998","CT01","Unit ID change from CT1 to CT01",
"CO","Pueblo Airport Generating Station","56998","CT03","Unit ID change from CT3 to CT03",
"CO","Pueblo Airport Generating Station","56998","CT06","Unit ID change from CT5A to CT06",
"CO","Pueblo Airport Generating Station","56998","CT02","Unit ID change from CT2 to CT02",
"CO","Pueblo Airport Generating Station","56998","CT04","Unit ID change from CT4 to CT04",
"CO","Pueblo Airport Generating Station","56998","CT04","Unit ID change from CT4A to CT04",
"TX","Sandy Creek Energy Station","56611","S01","Unit ID change from 1 to S01",
"TX","Nacogdoches Generating Facility","55708","BFB-1","Unit ID change from HRSG-1 to BFB-1",
"TX","Nacogdoches Generating Facility","55708","BFB-1","Unit ID change from BLR1 to BFB-1",
"TX","Nacogdoches Generating Facility","55708","CT1","Unit ID change from HRSG-2 to CT1",
"MO","Chillicothe","2122","GT1A","Unit ID change from GT1 to GT1A",
"MO","Chillicothe","2122","GT2A","Unit ID change from GT2 to GT2A",
"NY","Bethpage Energy Center","50292","GT3","Unit ID change from 3 to GT3",
"WI","West Campus Cogeneration Facility","7991","U1","Unit ID change from B01 to U1",
"WI","West Campus Cogeneration Facility","7991","U2","Unit ID change from B02 to U2",
"AZ","Santan","8068","6A","Unit ID change from 6 to 6A",
"WV","Morgantown Energy Facility","10743","CFB1","Unit ID change from 1 to CFB1",
"WV","Morgantown Energy Facility","10743","CFB2","Unit ID change from 2 to CFB2",
"MN","Northshore Mining Silver Bay Power","10849","PB1","Unit ID change from 1 to PB1",
"MN","Northshore Mining Silver Bay Power","10849","PB2","Unit ID change from 2 to PB2",
"FL","Intercession City","8049","3A","Unit ID change from P3 to 3A",
"FL","Intercession City","8049","1A","Unit ID change from P1 to 1A",
"FL","Intercession City","8049","4A","Unit ID change from P4 to 4A",
"FL","Intercession City","8049","5A","Unit ID change from P5 to 5A",
"FL","Intercession City","8049","6A","Unit ID change from P6 to 6A",
"FL","Intercession City","8049","2A","Unit ID change from P2 to 2A",
"OH","West Lorain","2869","1B","Unit ID change from CT1B to 1B",
"OH","West Lorain","2869","1A","Unit ID change from CT1A to 1A",
"NC","Craven County Wood Energy","10525","ES5A","Unit ID change from 4A to ES5A",
"CA","Riverside Energy Resource Center","56143","1","Unit ID change from UNIT1 to 1",
"CA","Riverside Energy Resource Center","56143","2","Unit ID change from UNIT2 to 2",
"IN","Sugar Creek Generating Station","55364","CT12","Unit ID change from 00CT12 to CT12",
"IN","Sugar Creek Generating Station","55364","CT21","Unit ID change from 00CT21 to CT21",
"IN","Sugar Creek Generating Station","55364","CT22","Unit ID change from 00CT22 to CT22",
"IN","Sugar Creek Generating Station","55364","CT11","Unit ID change from 00CT11 to CT11",
"CA","Otay Mesa Energy Center, LLC","55345","CTG-2","Unit ID change from 0CTGZ2 to CTG-2",
"TX","Colorado Bend Energy Center","56350","CT2A","Colorado Bend Energy Center (ORISPL 56350) Unit CT2A in Texas was previously KGen Enterprise Facility (ORISPL 55373) Unit CT5 in Mississippi, and started submitting emissions at the new location in Q1 2008",
"TX","Bacliff Generating Station","60264","BCGT6","Bacliff Generating Station (ORISPL 60264) Unit BCGT6 in Texas was previously BTEC New Albany LLC (ORISPL 13213) Unit AA-006 in Mississippi, and started submitting emissions at the new location in Q1 2015",
"TX","Bacliff Generating Station","60264","BCGT4","Bacliff Generating Station (ORISPL 60264) Unit BCGT4 in Texas was previously BTEC New Albany LLC (ORISPL 13213) Unit AA-004 in Mississippi, and started submitting emissions at the new location in Q1 2015",
"TX","Bacliff Generating Station","60264","BCGT5","Bacliff Generating Station (ORISPL 60264) Unit BCGT5 in Texas was previously BTEC New Albany LLC (ORISPL 13213) Unit AA-005 in Mississippi, and started submitting emissions at the new location in Q1 2015",
"TX","Bacliff Generating Station","60264","BCGT3","Bacliff Generating Station (ORISPL 60264) Unit BCGT3 in Texas was previously BTEC New Albany LLC (ORISPL 13213) Unit AA-003 in Mississippi, and started submitting emissions at the new location in Q1 2015",
"TX","Bacliff Generating Station","60264","BCGT1","Bacliff Generating Station (ORISPL 60264) Unit BCGT1 in Texas was previously BTEC New Albany LLC (ORISPL 13213) Unit AA-001 in Mississippi, and started submitting emissions at the new location in Q1 2015",
"TX","Bacliff Generating Station","60264","BCGT2","Bacliff Generating Station (ORISPL 60264) Unit BCGT2 in Texas was previously BTEC New Albany LLC (ORISPL 13213) Unit AA-002 in Mississippi, and started submitting emissions at the new location in Q1 2015",
"LA","Waterford 1 & 2","8056","4","Waterford 1 & 2 (ORISPL 8056) Unit 4 in Louisiana was previously South Glens Falls Energy (ORISPL 10618) Unit 1 in New York, and started submitting emissions at the new location in Q3 2009",
"NY","Ravenswood Steam Plant","880100","BLR002","Ravenswood Steam Plant (ORISPL 880100) Unit BLR002 in New York was previously Ravenswood Generating Station (ORISPL 2500) Unit BLR002 in New York, and started submitting emissions at the new location in Q1 2010",
"NY","Ravenswood Steam Plant","880100","BLR004","Ravenswood Steam Plant (ORISPL 880100) Unit BLR004 in New York was previously Ravenswood Generating Station (ORISPL 2500) Unit BLR004 in New York, and started submitting emissions at the new location in Q1 2010",
"NY","Ravenswood Steam Plant","880100","BLR001","Ravenswood Steam Plant (ORISPL 880100) Unit BLR001 in New York was previously Ravenswood Generating Station (ORISPL 2500) Unit BLR001 in New York, and started submitting emissions at the new location in Q1 2010",
"NY","Ravenswood Steam Plant","880100","BLR003","Ravenswood Steam Plant (ORISPL 880100) Unit BLR003 in New York was previously Ravenswood Generating Station (ORISPL 2500) Unit BLR003 in New York, and started submitting emissions at the new location in Q1 2010",
"OK","Tinker","63628","5A-1","Tinker (ORISPL 63628) Unit 5A-1 in Oklahoma was previously Mustang (ORISPL 2953) Unit 5A-1 in Oklahoma, and started submitting emissions at the new location in Q1 2021",
"OK","Tinker","63628","5B-1","Tinker (ORISPL 63628) Unit 5B-1 in Oklahoma was previously Mustang (ORISPL 2953) Unit 5B-1 in Oklahoma, and started submitting emissions at the new location in Q1 2021",
"OK","Tinker","63628","5B-2","Tinker (ORISPL 63628) Unit 5B-2 in Oklahoma was previously Mustang (ORISPL 2953) Unit 5B-2 in Oklahoma, and started submitting emissions at the new location in Q1 2021",
"OK","Tinker","63628","5A-2","Tinker (ORISPL 63628) Unit 5A-2 in Oklahoma was previously Mustang (ORISPL 2953) Unit 5A-2 in Oklahoma, and started submitting emissions at the new location in Q1 2021",
"PA","Hunlock Unit 4","56397","4","Hunlock (ORISPL 56397) Unit 4 in Pennsylvania was previously Hunlock Creek Energy Center (ORISPL 3176) Unit 4 in Pennsylvania, and started submitting emissions at the new location in Q1 2006",
"PA","ETMT Marcus Hook Terminal","880107","AB01","ETMT Marcus Hook Terminal (ORISPL 880107) Unit AB01 in Pennsylvania was previously Marcus Hook Energy, LP (ORISPL 55801) Unit AB01 in Pennsylvania, and started submitting emissions at the new location in Q4 2016",
